,Time,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation,state
0,2013-01-01,23 | 73.4,20 | 68.0,85,14 | 8.7,29.83 | 1010,0.0 | 0.0,Santa Elena
1,2013-01-02,23 | 73.4,21 | 69.8,87,15 | 9.32,29.8 | 1009,1.0 | 0.04,Santa Elena
2,2013-01-03,23 | 73.4,20 | 68.0,85,17 | 10.56,29.83 | 1010,0.0 | 0.0,Santa Elena
3,2013-01-04,23 | 73.4,20 | 68.0,84,13 | 8.08,29.83 | 1010,0.4 | 0.02,Santa Elena
4,2013-01-05,23 | 73.4,21 | 69.8,86,14 | 8.7,29.83 | 1010,0.2 | 0.01,Santa Elena
5,2013-01-06,23 | 73.4,21 | 69.8,86,15 | 9.32,29.83 | 1010,1.5 | 0.06,Santa Elena
6,2013-01-07,24 | 75.2,21 | 69.8,84,15 | 9.32,29.8 | 1009,0.1 | 0.0,Santa Elena
7,2013-01-08,24 | 75.2,21 | 69.8,85,15 | 9.32,29.74 | 1007,0.0 | 0.0,Santa Elena
8,2013-01-09,24 | 75.2,21 | 69.8,85,16 | 9.94,29.77 | 1008,0.0 | 0.0,Santa Elena
9,2013-01-10,24 | 75.2,21 | 69.8,85,14 | 8.7,29.8 | 1009,0.5 | 0.02,Santa Elena
10,2013-01-11,24 | 75.2,21 | 69.8,86,12 | 7.46,29.77 | 1008,0.0 | 0.0,Santa Elena
11,2013-01-12,24 | 75.2,21 | 69.8,87,15 | 9.32,29.83 | 1010,0.8 | 0.03,Santa Elena
12,2013-01-13,24 | 75.2,21 | 69.8,86,13 | 8.08,29.83 | 1010,0.0 | 0.0,Santa Elena
13,2013-01-14,24 | 75.2,21 | 69.8,85,14 | 8.7,29.83 | 1010,0.0 | 0.0,Santa Elena
14,2013-01-15,24 | 75.2,21 | 69.8,84,16 | 9.94,29.85 | 1011,0.0 | 0.0,Santa Elena
15,2013-01-16,24 | 75.2,21 | 69.8,83,13 | 8.08,29.83 | 1010,0.0 | 0.0,Santa Elena
16,2013-01-17,24 | 75.2,21 | 69.8,82,12 | 7.46,29.85 | 1011,0.3 | 0.01,Santa Elena
17,2013-01-18,25 | 77.0,21 | 69.8,82,12 | 7.46,29.85 | 1011,0.0 | 0.0,Santa Elena
18,2013-01-19,24 | 75.2,22 | 71.6,86,12 | 7.46,29.85 | 1011,0.6 | 0.02,Santa Elena
19,2013-01-20,24 | 75.2,21 | 69.8,85,13 | 8.08,29.83 | 1010,0.1 | 0.0,Santa Elena
20,2013-01-21,24 | 75.2,21 | 69.8,85,15 | 9.32,29.83 | 1010,0.9 | 0.04,Santa Elena
21,2013-01-22,24 | 75.2,21 | 69.8,83,14 | 8.7,29.85 | 1011,0.3 | 0.01,Santa Elena
22,2013-01-23,24 | 75.2,21 | 69.8,85,12 | 7.46,29.91 | 1013,0.2 | 0.01,Santa Elena
23,2013-01-24,23 | 73.4,21 | 69.8,87,11 | 6.84,29.94 | 1014,0.7 | 0.03,Santa Elena
24,2013-01-25,24 | 75.2,22 | 71.6,89,7 | 4.35,29.91 | 1013,2.3 | 0.09,Santa Elena
25,2013-01-26,24 | 75.2,22 | 71.6,88,9 | 5.59,29.88 | 1012,0.2 | 0.01,Santa Elena
26,2013-01-27,23 | 73.4,22 | 71.6,90,13 | 8.08,29.88 | 1012,1.3 | 0.05,Santa Elena
27,2013-01-28,23 | 73.4,21 | 69.8,88,12 | 7.46,29.88 | 1012,1.1 | 0.04,Santa Elena
28,2013-01-29,24 | 75.2,21 | 69.8,88,12 | 7.46,29.88 | 1012,0.7 | 0.03,Santa Elena
29,2013-01-30,24 | 75.2,21 | 69.8,87,13 | 8.08,29.85 | 1011,0.0 | 0.0,Santa Elena
30,2013-01-31,24 | 75.2,21 | 69.8,87,9 | 5.59,29.83 | 1010,0.3 | 0.01,Santa Elena
31,2013-02-01,23 | 73.4,22 | 71.6,90,12 | 7.46,29.85 | 1011,0.2 | 0.01,Santa Elena
32,2013-02-02,24 | 75.2,21 | 69.8,86,12 | 7.46,29.88 | 1012,0.9 | 0.04,Santa Elena
33,2013-02-03,24 | 75.2,22 | 71.6,87,10 | 6.21,29.85 | 1011,1.7 | 0.07,Santa Elena
34,2013-02-04,23 | 73.4,21 | 69.8,86,11 | 6.84,29.85 | 1011,2.1 | 0.08,Santa Elena
35,2013-02-05,23 | 73.4,21 | 69.8,85,7 | 4.35,29.85 | 1011,5.0 | 0.2,Santa Elena
36,2013-02-06,24 | 75.2,21 | 69.8,84,11 | 6.84,29.85 | 1011,0.5 | 0.02,Santa Elena
37,2013-02-07,24 | 75.2,21 | 69.8,80,8 | 4.97,29.85 | 1011,0.0 | 0.0,Santa Elena
38,2013-02-08,24 | 75.2,21 | 69.8,80,7 | 4.35,29.85 | 1011,0.0 | 0.0,Santa Elena
39,2013-02-09,24 | 75.2,21 | 69.8,82,11 | 6.84,29.88 | 1012,0.0 | 0.0,Santa Elena
40,2013-02-10,25 | 77.0,21 | 69.8,83,12 | 7.46,29.88 | 1012,0.1 | 0.0,Santa Elena
